City,State,Population,Latitude,Longitude,High_Feb,High_Jun,High_Dec,Temp_Feb,Temp_Jun,Temp_Dec,Low_Feb,Low_Jun,Low_Dec
Torreón,Coahuila,690193,25.54444,-103.44167,26.0,35.0,23.0,17.0,29.0,15.0,10.0,22.0,8.0
Tlalnepantla,State of Mexico,658907,19.53667,-99.19472,23.0,24.0,22.0,15.0,18.0,13.0,7.0,13.0,6.0
Acapulco,Guerrero,658609,16.86167,-99.88639,31.0,32.0,31.0,26.0,28.0,26.0,21.0,25.0,22.0
Tlaquepaque,Jalisco,650123,20.63861,-103.30722,26.0,29.0,24.0,16.0,22.0,14.0,7.0,17.0,6.0
Guadalupe,Nuevo León,635862,25.67917,-100.235,24.0,34.0,22.0,17.0,28.0,15.0,12.0,23.0,11.0
Durango,Durango,616068,24.02278,-104.65444,23.0,29.0,21.0,13.0,22.0,11.0,3.0,14.0,2.0
Tuxtla Gutiérrez,Chiapas,578830,16.75306,-93.11556,30.0,31.0,28.0,23.0,26.0,22.0,18.0,22.0,17.0
Veracruz,Veracruz,537963,19.19028,-96.15333,27.0,32.0,27.0,22.0,28.0,22.0,18.0,24.0,19.0
Ciudad Apodaca,Nuevo León,536436,25.78167,-100.18889,24.0,34.0,22.0,17.0,28.0,15.0,12.0,23.0,11.0
Ciudad López Mateos,State of Mexico,523065,19.56111,-99.24694,22.0,24.0,21.0,14.0,17.0,12.0,6.0,12.0,5.0
Cuautitlán Izcalli,State of Mexico,515353,19.64611,-99.21139,23.0,24.0,21.0,14.0,18.0,13.0,7.0,13.0,6.0
Matamoros,Tamaulipas,510739,25.87972,-97.50417,23.0,33.0,23.0,17.0,28.0,17.0,13.0,24.0,12.0
General Escobedo,Nuevo León,454967,25.80861,-100.32694,25.0,35.0,22.0,17.0,29.0,15.0,12.0,23.0,10.0
